# time, numberOfNodes, lengthPrioQueue, instructionMapping, sizeSolutionQueue , alreadyReadInputFiles 
0,-1,0,0,0,1
1,-1,0,0,0,2
61,-1,0,0,0,5
181,-1,0,0,0,7
241,-1,0,0,0,8
901,-1,0,0,0,9
1261,-1,0,0,0,10
2762,-1,0,0,0,11
2822,-1,0,0,0,12
3422,-1,0,0,0,13
3542,-1,0,0,0,14
4982,-1,0,0,0,15
5342,-1,0,0,0,16
5402,-1,0,0,0,17
