Input file; Time; Memory; Instr.; User-Defined
fuzzer-out/afl/queue/id:000000,orig:example.txt; 66493870; 251658240; 26; 0
fuzzer-out/afl/queue/id:000001,src:000000,op:havoc,rep:128,+cov; 195199830; 251658240; 103; 0
fuzzer-out/afl/queue/id:000002,src:000000,op:havoc,rep:64,+cov; 203052657; 251658240; 102; 0
fuzzer-out/afl/queue/id:000003,src:000000,op:havoc,rep:128,+cov; 194125366; 251658240; 116; 0
fuzzer-out/afl/queue/id:000004,src:000000,op:havoc,rep:8,+cov; 197850049; 251658240; 120; 0
fuzzer-out/afl/queue/id:000005,src:000004+000003,op:splice,rep:2,+cov; 302856816; 251658240; 109; 0
