Time(sec); File; Runtime; Memory; Instr.; User-Defined; Patch-Touch; Patch-Dist.; Output Diff.; Decision Dist.
9; ../hydiff-out/afl/queue/id:000000,orig:example.txt; 149786272; 251658240; 67; 0; 0; []; 0; 0
11; ../hydiff-out/afl/queue/id:000001,src:000000,op:havoc,rep:8,+cov; 140433703; 251658240; 67; 0; 0; []; 0; 0
37; ../hydiff-out/afl/queue/id:000002,src:000000,op:havoc,rep:64,highscore; 129600192; 251658240; 67; 0; 0; []; 0; 0
49; ../hydiff-out/afl/queue/id:000003,src:000000,op:havoc,rep:16; 123556002; 251658240; 61; 0; 0; []; 0; 0
