Time(sec); File; Runtime; Memory; Instr.; User-Defined; Patch-Touch; Patch-Dist.; Output Diff.; Decision Dist.
369; ../hydiff-out-1/afl/queue/id:000041,src:000003,op:havoc,rep:8,+cov; 128628; 240123904; 7; 1; 0; [2,1]; 0; 1
371; ../hydiff-out-1/afl/queue/id:000042,src:000003,op:havoc,rep:4,+cov; 131725; 240123904; 7; 1; 0; [2,1]; 0; 1
383; ../hydiff-out-1/afl/queue/id:000043,src:000003,op:havoc,rep:2,+cov; 127980; 240123904; 7; 1; 0; [2,1]; 0; 1
383; ../hydiff-out-1/afl/queue/id:000044,src:000003,op:havoc,rep:2,+cov; 118569; 240123904; 7; 1; 0; [2,1]; 0; 1
385; ../hydiff-out-1/afl/queue/id:000045,src:000003,op:havoc,rep:4,+cov; 135929; 240123904; 7; 1; 0; [2,1]; 0; 1
397; ../hydiff-out-1/afl/queue/id:000046,src:000003,op:havoc,rep:16,+cov; 135210; 240123904; 7; 1; 0; [2,1]; 0; 1
399; ../hydiff-out-1/afl/queue/id:000047,src:000003,op:havoc,rep:2,+cov; 132536; 240123904; 7; 1; 0; [2,1]; 0; 1
402; ../hydiff-out-1/afl/queue/id:000048,src:000003,op:havoc,rep:4,+cov; 142367; 240123904; 7; 1; 0; [2,1]; 0; 1
404; ../hydiff-out-1/afl/queue/id:000049,src:000003,op:havoc,rep:16,+cov; 136788; 240123904; 7; 1; 0; [2,1]; 0; 1
417; ../hydiff-out-1/afl/queue/id:000050,src:000003,op:havoc,rep:2,+cov; 128365; 240123904; 7; 1; 0; [2,1]; 0; 1
434; ../hydiff-out-1/afl/queue/id:000051,src:000003,op:havoc,rep:16,+cov; 132593; 240123904; 7; 1; 0; [2,1]; 0; 1
436; ../hydiff-out-1/afl/queue/id:000052,src:000003,op:havoc,rep:8,+cov; 132056; 240123904; 7; 1; 0; [2,1]; 0; 1
445; ../hydiff-out-1/afl/queue/id:000053,src:000003,op:havoc,rep:8,+cov; 126152; 240123904; 7; 1; 0; [2,1]; 0; 1
447; ../hydiff-out-1/afl/queue/id:000054,src:000003,op:havoc,rep:2,+cov; 132143; 240123904; 7; 1; 0; [2,1]; 0; 1
450; ../hydiff-out-1/afl/queue/id:000055,src:000003,op:havoc,rep:8,+cov; 132928; 240123904; 7; 1; 0; [2,1]; 0; 1
461; ../hydiff-out-1/afl/queue/id:000056,src:000003+000011,op:splice,rep:4,+cov; 196590; 240123904; 5; 0; 0; [2,1]; 0; 0
466; ../hydiff-out-1/afl/queue/id:000057,src:000003+000048,op:splice,rep:4,+cov; 131829; 240123904; 7; 1; 0; [2,1]; 0; 1
469; ../hydiff-out-1/afl/queue/id:000058,src:000003+000048,op:splice,rep:4,+cov; 132485; 240123904; 7; 1; 0; [2,1]; 0; 1
472; ../hydiff-out-1/afl/queue/id:000059,src:000003+000048,op:splice,rep:2,+cov; 162608; 240123904; 7; 1; 0; [2,1]; 0; 1
508; ../hydiff-out-1/afl/queue/id:000060,src:000003+000025,op:splice,rep:8,+cov; 134989; 240123904; 7; 1; 0; [2,1]; 0; 1
510; ../hydiff-out-1/afl/queue/id:000061,src:000003+000025,op:splice,rep:16,+cov; 130975; 240123904; 7; 1; 0; [2,1]; 0; 1
519; ../hydiff-out-1/afl/queue/id:000062,src:000003+000050,op:splice,rep:2,+cov; 138520; 240123904; 7; 1; 0; [2,1]; 0; 1
525; ../hydiff-out-1/afl/queue/id:000063,src:000004,op:havoc,rep:16,+cov; 141849; 240123904; 7; 1; 0; [2,1]; 0; 1
528; ../hydiff-out-1/afl/queue/id:000064,src:000004,op:havoc,rep:2,+cov; 136760; 240123904; 7; 1; 0; [2,1]; 0; 1
539; ../hydiff-out-1/afl/queue/id:000065,src:000004,op:havoc,rep:4,+cov; 138462; 240123904; 7; 1; 0; [2,1]; 0; 1
541; ../hydiff-out-1/afl/queue/id:000066,src:000004,op:havoc,rep:4,+cov; 130951; 240123904; 7; 1; 0; [2,1]; 0; 1
549; ../hydiff-out-1/afl/queue/id:000067,src:000004,op:havoc,rep:8,+cov; 132714; 240123904; 7; 1; 0; [2,1]; 0; 1
553; ../hydiff-out-1/afl/queue/id:000068,src:000004,op:havoc,rep:8,+cov; 130512; 240123904; 7; 1; 0; [2,1]; 0; 1
571; ../hydiff-out-1/afl/queue/id:000069,src:000004,op:havoc,rep:4,+cov; 130501; 240123904; 7; 1; 0; [2,1]; 0; 1
573; ../hydiff-out-1/afl/queue/id:000070,src:000004,op:havoc,rep:4,+cov; 137742; 240123904; 7; 1; 0; [2,1]; 0; 1
