Time(sec); File; Runtime; Memory; Instr.; User-Defined; Patch-Touch; Patch-Dist.; Output Diff.; Decision Dist.
6; ../hydiff-out/afl/queue/id:000000,orig:example.txt; 68101951; 251658240; 24; 0; 0; []; 0; 0
22; ../hydiff-out/afl/queue/id:000001,src:000000,op:havoc,rep:8,+cov,highscore; 202449854; 251658240; 92; 0; 0; []; 0; 0
30; ../hydiff-out/afl/queue/id:000002,src:000000,op:havoc,rep:64,+cov,highscore; 202300014; 251658240; 94; 0; 0; []; 0; 0
39; ../hydiff-out/afl/queue/id:000003,src:000000,op:havoc,rep:32,+cov,highscore; 196160236; 251658240; 107; 0; 0; []; 0; 0
99; ../hydiff-out/afl/queue/id:000004,src:000000,op:havoc,rep:64,+cov; 203420674; 251658240; 104; 0; 0; []; 0; 0
15274; ../hydiff-out/afl/queue/id:000005,src:000002,op:havoc,rep:32,+cov,highscore; 255792767; 251658240; 110; 0; 0; []; 0; 0
15428; ../hydiff-out/afl/queue/id:000006,src:000005,op:havoc,rep:2,highscore; 274534262; 251658240; 113; 0; 0; []; 0; 0
